questions,answers
?,mikrofon
?,webcam
?,prozessor
?,ram
?,ssd
?,netzteil
?,gehaeuse
?,kuehlung
?,luefter
?,mainboard
?,treiber
?,steam
?,epicgames
?,origin
?,uplay
?,gog
?,xbox
?,nintendo
?,switch
?,pc
?,handy
?,tablet
?,vrbrille
?,joystick
?,gamepad
?,mauspad
?,internet
?,wlan
?,lan
?,router
?,latenz
?,server
Transaktionsverarbeitungssystem (Abk.),tps
?,adventure
?,sport
?,rennspiel
?,shooter
?,fortnite
?,minecraft
?,amongus
?,dota
?,overwatch
?,valorant
?,pubg
?,warzone
?,destiny
?,eldenring
mc biome (deep),dark
?,ps
?,psp
?,ds
?,dk
?,gameboy
?,NES
?,SNES
?,traenen
?,ui
?,ai
?,mp
Jemanden von 100 auf 0 bursten (Abk.),os
?,streaming
?,youtube
?,hotkey
?,minimap
?,hud
?,inventory
?,emulator
?,rom
?,expansion
?,skins
?,cosmetics
?,elo
?,proplayer
?,endgame
?,metagame
?,roguelike
?,soulslike
?,indiegame
?,beta
?,alpha
?,demo
?,gameplay
?,mechanics
?,physics
?,fov
?,vsync
?,dlss
?,texture
?,polygon
?,shader
?,lighting
?,particle
?,rigging
?,voicechat
?,discord
?,teamspeak
?,benchmark
?,leistung
?,fanspeed
?,rgb
?,bios
?,uefi
?,firmware
?,driver
?,hotfix
?,konsole
?,spieler
?,spielwelt
?,item
?,powerup
?,bossfight
?,perk
?,mission
?,mmorpg
?,keyboard
?,chache
?,camper
?,mouse
?,aimbot
Unreal oder Unity,engine
?,devkit
?,avatar
?,autosave
?,highscore
?,badge
?,grind
?,farm
?,levelup
?,rank
?,lobby
?,textchat
?,gamer
?,stream
?,guide
?,tutorial
?,armor
?,damage
?,support
?,tank
?,healer
?,combo
?,cooldown
?,aoe
?,status
?,health
?,map
?,questlog
?,dialog
?,endboss
?,arena
?,release
?,launch
?,preorder
?,review
?,rating
?,publisher
?,gamedev
?,gamedevs
?,mainquest
?,sidequest
?,challenge
?,score
?,scores
?,voiceover
?,choices
?,choice
?,moral
?,creative
?,haendler
?,bauplan
?,material
?,upgrades
?,upgrade
?,skillbaum
?,skilled
?,skiller
?,waffenmod
?,mods
?,helm
?,helme
?,runen
?,rune
?,zauber
?,zauberei
?,trank
?,traenke
?,gift
?,gifte
?,falle
?,fallen
?,takik
?,takiken
?,loadout
?,loadouts
?,teamplay
?,training
?,turnier
?,replay
?,replays
?,highlight
?,recording
?,interface
?,taste
?,shortcut
?,shortcuts
?,macro
?,macros
?,modding
?,community
?,gilde
?,eventboss
?,lootbox
?,lootboxen
?,lootboxes
?,coin
?,coins
?,diamanten
?,premium
?,skinshop
Virtuelle Schulterklopfer für hartnäckige Completionists,erfolge
?,erfolg
?,daily
?,prestige
?,ranking
?,rang
?,profil
?,profile
?,profiles
?,freunde
?,freund
?,spray
?,graffiti
?,bossrush
?,zeitmodus
?,belohnung
?,minigame
?,arcade
?,retro
?,pixelart
?,optionen
?,zielhilfe
?,flugsim
?,aufbau
?,tycoon
?,defense
?,thriller
?,spielzeit
?,backup
?,cloudsave
?,plattform
?,epicstore
?,settings
?,foren
?,exploit
?,cheatcode
?,debug
?,ii
?,xi
?,mm
?,iv
?,xv
?,balanced
?,patchday
?,wartung
?,downtime
?,queue
?,faq
?,resync
?,gamestate
?,kick
?,bann
?,fairplay
?,gruppe
?,squad
?,multigame
Mehrstündige Gaming-Phase (engl.),session
?,reconnect
?,crossplay
?,heatmap
?,saison
?,reset
?,liga
?,division
?,mmr
?,analytik
?,cammod
?,casting
?,finale
?,preisgeld
?,creator
?,video
?,playlist
?,abonnent
?,abo
?,like
?,dislike
?,kommentar
?,upload
?,thumbnail
?,titelbild
?,tags
?,content
?,shorts
?,chat
?,superchat
?,donation
?,werbung
?,anzeige
?,sponsor
Produktplatzierung (Abk.),pp
?,affiliate
?,analytics
?,klickrate
?,trend
?,trending
?,watchtime
?,klicks
?,reaction
?,vlog
?,vergleich
?,unboxing
?,clutch
?,cut
?,hackathon
?,ultra
?,ragequit
?,spiderman
?,thor
?,loki
?,ironman
?,maggy
?,judas
?,trading
?,brewing
?,brauen
?,enchanten
?,mobs
?,biomes
?,ocean
type of ocean (gibt auch deep/frozen),warm
type of ocean,lukewarm
type of ocean,cold
?,meadow
...peaks,stony
?,jagged
mc block,cherry
?,grove
?,forest
?,swamp
?,beach
?,plains
?,desert
?,savanna
?,badlands
cave,dipstone
cave,lush
nether,wastes
soul sand,valley
nether forest,crimson
nether forest,warped
basalt/mc block,deltas
Minecraft Biome: The ...,end
end,midlands
end,highlands
end,barrens
?,berghain
?,ebene
?,wald
?,sumpf
?,strand
?,pilzland
?,alm
?,ozean
?,fluss
?,ende
?,karmesin
?,wirrwald
?,novice
?,expert
?,master
?,nitwit
?,armorer
?,butcher
?,cleric
?,farmer
?,fisherman
?,fletcher
?,Librarian
?,mason
?,Shepherd
?,toolsmith
trader,wandering
aqua,affinity
?,bane
curse of,binding
curse of,vanishing
?,density
feather,falling
?,flame
?,fortune
?,impaling
?,infinity
?,looting
?,loyalty
?,lure
?,mending
?,multishot
?,piercing
?,power
?,punch
?,sharpness
?,thorns
?,cleaving
?,allay
?,armadillo
?,axolotl
?,bat
?,camel
?,chicken
?,cod
?,cow
?,donkey
?,frog
?,horse
?,mooshroom
?,mule
?,ocleot
?,parrot
?,pig
?,rabbit
?,salmon
?,sheep
?,sniffer
?,squid
?,strider
?,tadpole
?,turtle
?,villager
Minecraft Mob,bee
?,cave
?,dolphin
?,enderman
?,fox
?,goat
iron,golem
?,llama
?,panda
head of mobs,piglin
?,spider
?,wolf
phoenix character,blaze
?,bogged
?,creaking
head of mobs,creeper
head of mobs,skeleton
?,endermite
?,evoker
?,ghast
?,hoglin
?,husk
magma,cube
cube,magma
?,pillager
?,ravager
?,shulker
?,skleton
?,slime
?,stray
?,witch
?,zoglin
head of mobs,zombie
head of mobs,player
?,acacia
?,button
?,door
?,fence
?,leaves
?,log
?,planks
?,sapling
?,shelf
?,sign
?,slab
?,stairs
?,trapdoor
?,wood
?,rail
?,Allium
?,Amethyst
?,debris
?,andesite
?,wall
?,anvil
?,Azalea
?,bamboo
?,mosaic
?,beacon
?,bedrock
?,beehive
?,beetroots
?,bell
?,birch
?,banner
?,bed
?,candle
?,carpet
?,concrete
?,wool
?,copper
?,lapis
?,netherite
?,quartz
?,redstone
?,resin
?,blue
?,black
?,bookshelf
?,coral
?,bricks
?,brown
?,mushroom
?,glass
?,cactus
?,cake
?,calcite
?,campfire
?,carrots
?,carrot
?,pumpkin
?,cauldron
?,chain
?,chest
anvil,chipped
?,chiseled
?,clay
?,cobweb
?,cocoa
block,command
?,block
?,composter
?,conduit
?,bulb
?,lantern
?,cracked
?,crafter
crafting,table
?,cyan
?,dandelion
?,deepslate
?,ore
?,dirt
?,dispenser
?,dripstone
?,dropper
?,fern
table,fletching
?,furnance
?,glowstone
?,granite
?,grass
?,gray
?,green
?,hay
?,honey
?,hopper
?,bars
?,jukebox
?,kelp
?,ladder
?,lava
?,lectern
?,lever
?,lime
?,magenta
?,mangrove
?,melon
?,mossy
?,mud
?,mycelium
?,oak
?,obisidian
?,orange
?,pale
?,pink
?,piston
?,podzol
?,polished
?,tuff
?,potatoes
?,potatoe
?,purple
?,red
?,tulip
?,torch
?,sand
?,sandstone
?,sculk
?,seagrass
?,snow
Minecraft Block,sponge
?,spruce
?,sticky
?,stone
?,sunflower
?,target
?,tnt
?,tripwire
?,vines
?,water
?,white
?,yellow
?,bow
Throwable Minecraft item,egg
?,lead
?,minecart
?,string
?,trident
?,apple
?,beetroot
?,book
?,bowl
?,bread
?,brush
?,bundle 
?,charcoal
?,coal
?,compass
?,cooked
?,cookie
?,cookies
?,axe
?,boots
?,helmet
?,hoe
?,leggings
?,shovel
?,schaufel
?,sword
?,schwert
?,elytra
?,GAP
?,horn
?,ingot
?,nugget
?,mace
?,potion
?,pie
?,dye
?,saddle
?,shears
?,slimeball
?,spyglass
?,steak
?,sugar
?,wheat
?,wooden
?,clock
?,flint
?,feather
?,gunpowder
?,leather
?,paper
?,raw
?,stick
?,slowness
?,strength
?,nausea
?,blindness
?,hunger
?,weakness
?,darkness
?,weaving
?,oozing
?,infested
?,glowing
?,luck
?,recipe
?,recipes
?,mineshaft
?,igloo
?,vilage
?,shipwreck
?,fossil
?,Bisasam
?,Bisaknosp
?,Bisaflor
?,Glumanda
?,Glutexo
?,Glurak
?,Schiggy
?,Schillok
?,Turtok
?,Raupy
?,Safcon
?,Smettbo
?,Hornliu
?,Kokuna
?,Bibor
?,Taubsi
?,Tauboga
?,Tauboss
?,Rattfratz
?,Rattikarl
?,Habitak
?,Ibitak
?,Sandan
?,Sandamer
?,Nidoran♀
?,Nidorina
?,Nidoqueen
?,Nidoran♂
?,Nidorino
?,Nidoking
?,Piepi
?,Pixi
?,Vulpix
?,Ninetales
?,Pummeluff
?,Zubat
?,Golbat
?,Myrapla
?,Duflor
?,Giflor
?,Paras
?,Parasek
?,Bluzuk
?,Omot
?,Digda
?,Digdri
?,Mauzi
?,Enton
?,Entoron
?,Menki
?,Rasaff
?,Fukano
?,Arkani
?,Quapsel
?,Quaputzi
?,Quappo
?,Abra
?,Kadabra
?,Simsala
?,Machollo
?,Maschock
?,Machomei
?,Knofensa
?,Sarzenia
?,Tentacha
?,Tentoxa
?,Georok
?,Geowaz
?,Ponita
?,Gallopa
?,Flegmon
?,Lahmus
?,Magnetilo
?,Magneton
?,Porenta
?,Dodu
?,Dodri
?,Jurob
?,Jugong
?,Sleima
?,Sleimok
?,Muschas
?,Austos
?,Nebulak
?,Alpollo
?,Gengar
?,Onix
?,Traumato
?,Hypno
?,Krabby
?,Kingler
?,Voltobal
?,Lektrobal
?,Owei
?,Kokowei
?,Tragosso
?,Knogga
?,Kicklee
?,Nockchan
?,Schlurp
?,Smogon
?,Smogmog
?,Rihorn
?,Rizeros
?,Chaneira
?,Tangela
?,Kangama
?,Seeper
?,Seemon
?,Goldini
?,Golking
?,Sterndu
?,Starmie
?,Pantimos
?,Sichlor
?,Rossana
?,Elektek
?,Magmar
?,Pinsir
?,Tauros
?,Karpador
?,Garados
?,Lapras
?,Ditto
?,Evoli
?,Aquana
?,Blitza
?,Flamara
?,Porygon
?,Amonitas
?,Amoroso
?,Kabuto
?,Kabutops
?,Relaxo
?,Arktos
?,Zapdos
?,Lavados
?,Dratini
?,Dragonir
?,Dragoran
Psycho pokemon,Mewtu
?,Mew
?,schnitt
?,editing
?,aufnahme
?,kamera
?,auflosung
?,hd
?,fullhd
?,rendern
?,zeitplan
?,skript
?,intro
?,outro
?,musik
?,collab
?,gast
?,storytime
?,clickbait
?,glocke
?,repeater
?,hebel
?,schalter
?,fackel
?,bauwerk
?,burg
?,festung
?,mine
?,mining
?,pickaxe
?,axt
?,werkbank
?,ofen
?,amboss
?,truhe
?,schild
?,karte
?,kompass
?,uhr
?,nahrung
?,brot
?,apfel
?,goldapfel
?,karotte
?,kartoffel
?,kuchen
?,schaf
?,huhn
?,schwein
?,pferd
?,reittier
?,skelett
?,spinne
?,hexer
?,nether
?,quarz
?,endportal
?,fliegen
?,rakete
?,bauernhof
?,tuerme
?,bruecke
?,lager
?,versteck
?,falltuer
?,leiter
?,wasser
?,eimer
?,eis
?,schnee
?,biom
?,wueste
?,dschungel
?,gebirge
?,hoehle
?,abenteuer
?,plugin
?,modpack
?,cape
?,realms
?,sims4
?,sim
?,haushalt
?,baumodus
?,kaufmodus
?,bestreben
?,merkmale
?,emotionen
?,energie
?,hygiene
?,spaß
?,sozial
?,blase
?,karriere
?,beruf
?,job
?,gehalt
?,schueler
?,schule
?,semester
?,studium
?,geld
?,simoleon
?,kaching
?,objekte
?,moebel
?,stuhl
?,bett
?,sofa
?,herd
?,spuele
?,fernseher
?,computer
?,teamfight
?,malerei
?,staffelei
?,klavier
?,gitarre
?,geige
?,hobby
?,interesse
?,beziehung
?,romantik
?,verknallt
?,verliebt
?,heiraten
?,hochzeit
?,baby
?,kind
?,teenager
?,rentner
?,familie
?,adoption
?,geburt
?,tod
?,geist
?,friedhof
?,trauer
?,urne
?,grabstein
?,hausbauen
?,garten
?,pflanzen
?,blumen
?,gaertner
?,haustier
?,tierarzt
?,stadt
?,welt
?,reisen
?,urlaub
?,zelt
?,camping
?,lampe
?,heft
?,papier
?,fenster
?,tuer
?,kissen
?,decke
?,schrank
?,spiegel
?,wand
?,boden
?,deckeoben
?,telefon
?,brille
?,jacke
?,hose
?,hemd
?,socke
?,schuh
?,mensch
?,frau
?,mann
?,oma
?,opa
?,freundin
?,essen
?,trinken
?,banane
?,milch
?,einkauf
?,bank
?,zahl
?,farbe
?,rot
?,blau
?,gelb
?,gruen
?,schwarz
?,weiss
?,grau
?,tag
?,nacht
?,morgen
?,abend
?,woche
?,zeit
?,sekunde
?,minute
?,stunde
?,reise
?,weg
?,schiff
?,rad
?,spiel
?,film
?,bild
?,frage
?,antwort
?,idee
?,traum
?,gedanke
?,glueck
?,toplane
?,midlane
?,botlane
auch mc biome,jungle
?,laner
?,lane
Nicht der Jungle,lanes
?,jungler
?,gank
?,ward
?,pinkward
?,sweeper
?,totem
?,vision
?,control
?,stuns
?,spells
?,cooldowns
auch mc biom,river
mc block,bush
?,tribrush
?,pixelbush
?,bushes
?,fog
?,tower
?,towers
signature killjoy,turret
?,turrets
?,inhibitor
?,nexus
?,minion
?,minions
?,waveclear
?,push
?,roam
?,roams
?,rotate
?,priority
?,prio
?,freeze
?,slowpush
?,fastpush
?,ngo
?,mulmig
?,thermo
Hochprozentiges (Kurzw.),alk
?,los
?,asen
Geistreicher Aufsatz,essay
?,hl
?,recall
?,teleport
?,teleports
valorant begriff,flash
lol world song,ignite
?,heal
mc block,barrier
?,exhaust
?,ghost
?,cleanse
auch mc effect,smite
?,redsmite
?,objective
?,baron
?,barons
?,drake
?,drakes
ender (head mc),dragon
?,dragons
?,rift
?,herald
?,scuttle
?,scuttles
?,grubs
?,grubbys
?,voidgrubs
?,voidgrub
?,Atakhan
?,rose
?,roses
?,pedal
?,pedals
?,redbuff
?,redbuffs
?,bluebuff
?,bluebuffs
?,camp
?,camps
?,krugs
?,krug
?,raptors
?,raptor
?,wolves
?,wolve
?,gromp
?,gromps
?,leash
?,invade
?,invader
?,dive
?,dives
?,outplay
?,outplays
?,oneshot
?,oneshots
?,burst
?,poke
?,allin
?,cc
?,ccs
?,snares
?,knockup
?,knockups
?,disengage
?,engage
?,engages
?,skrimish
?,splitpush
?,macroplay
?,microplay
?,shutdown
?,shutdowns
?,bounty
?,bountys
?,gold
?,kill
?,kills
?,death
?,deaths
?,assist
?,assists
?,kda
?,kd
?,cs
?,siege
?,runeterra
?,continent
?,demacia
?,demacien
?,noxus
?,noxian
?,ionia
?,Vastaya
?,Vastayas
?,piltover
?,renni
?,salo
?,shoola
?,zaun
?,zaunite
?,targon
?,mount
?,shurima
?,freljord
?,demigods
?,demigod
?,void
?,leere
?,champion
auch mc effect (fire),aspect
?,aspects
?,magie
?,magier
?,witches
?,magic
?,hextech
?,artefakt
?,region
?,konflikt
?,konflikte
?,krieg
?,krieger
?,wars
?,legende
?,held
?,heldin
?,helden
?,heldinnen
?,klinge
?,klingen
?,bogen
?,boegen
?,speer
?,assassine
?,schuetze
?,kaiserin
?,koenig
?,koenigin
?,drache
?,goettin
?,geister
?,daemon
?,ahne
?,vater
?,mutter
?,verrat
?,treue
?,ehre
?,blutlinie
?,schicksal
?,pakt
?,fluch
?,segen
?,ritual
?,opfer
?,tempel
?,schrein
?,monolith
?,portal
?,albtraum
?,macht
?,wissen
?,geheimnis
?,artefakte
?,relikt
?,stern
?,mond
?,sonne
?,berg
?,berge
?,tiefen
?,meer
?,insel
?,inseln
Spiel: ...romantik,dorf
?,doerfer
?,grenze
?,grenzen
?,ordnung
?,chaos
?,abgrund
?,ursprung
?,legenden
?,chronik
?,Camavoran
?,riotgames
?,agent
?,ability
?,abilities
?,ult
?,orbs
?,spike
?,low
?,defuse
?,plant
?,ace
?,dm
?,unrated
?,immortal
?,radiant
?,iron
?,bronze
?,silber
?,platin
mc,diamond
?,ascendant
?,peek
?,crosshair
?,headshot
?,bodyshot
?,legshot
?,recoil
?,tapping
?,flick
?,flicking
?,flickaim
?,tracking
?,preaim
?,prefire
?,angles
?,rotating
?,lurking
?,smokes
?,molly
?,revive
?,recon
?,wallbang
?,vandal
mc mob,phantom
?,operator
?,judge
?,bucky
?,classic
valorant waffe + caitlyn titel,sheriff
?,stinger
?,spectre
?,ares
?,odin
?,bulldog
mc mob,guardian
?,marshal
?,shorty
lol Briar,frenzy
Waffe aus CS:GO,knife
?,vp
?,kingdom
?,ascent
?,bind
?,haven
?,split
?,icebox
mc mob,breeze
?,fracture
?,pearl
?,lotus
?,sunset
?,mid
?,site
?,default
?,execute
?,retake
?,eco
?,halfbuy
?,fullbuy
?,pistol
?,overtime
?,surrend
?,remake
?,afk
?,comms
?,teamvoice
?,party
?,jett
lol world song + valorant charkter,phoenix
?,sage
?,sova
?,brimstone
?,cypher
?,raze
mc effect,breach
?,omen
?,killjoy
?,reyna
?,skye
?,astra
?,yoru
Valorants Zeri,neon
?,chamber
?,fade
?,harbor
?,weapon
?,gun
?,assault
?,melee
?,bomb
?,defuser
?,smoke
?,grenade
?,ultimate
?,reload
?,aim
?,scope
?,buyphase
?,round
?,entry
?,lurker
mc block,smoker
?,flashbang
?,utility
?,cover
?,peak
?,heavy
?,movement
?,footsteps
?,trade
?,defending
?,attacking
?,sitea
?,siteb
?,plantspot
?,callout
?,trap
?,dash
?,blink
mc item,shield
?,scan
?,slowfield
mc effect,poison
?,decoy
?,blast
?,explosion
?,cloak
?,reveal
?,radar
?,trapwire
?,pulse
?,shard
?,sigil
?,orb
?,nova
?,charge
?,cast
?,deploy
?,throw
?,summon
?,detonate
?,mark
?,spot
?,healzone
?,boost
?,sentry
?,firewall
?,shockwave
?,blind
?,clone
?,cone
?,line
?,circle
?,radius
?,duration
?,cost
?,usage
?,stack
?,channel
?,passive
?,active
?,toggle
?,scatter
?,pierce
?,penetrate
?,resurrect
?,energy
auch mc effect,knockback
?,targeted
?,skillshot
?,casttime
?,range
valo ability modification,sustain
?,armorpen
?,magicpen
?,lifesteal
?,spellvamp
?,gapcloser
?,empower
?,reflect
?,absorb
?,regen
?,manaregen
?,tempest
?,feuer
?,erde
?,luft
?,himmel
?,wolke
?,wind
?,blitz
?,schrift
?,apfelsine
?,mandarine
?,kirsche
?,erdbeere
?,himbeere
?,blaubeere
?,traube
?,melone
?,kiwi
?,pfirsich
?,aprikose
?,birne
?,pflaume
?,honig
?,zucker
?,salz
?,ketchup
?,suppe
?,brühe
?,salami
?,schinken
?,wurst
?,speck
?,tofu
?,sojasauce
?,reiswein
?,schnitzel
?,pizza
?,burger
?,sandwich
?,kuh
?,gans
?,ratte
?,kaninchen
?,hamster
?,arcane
?,powder
?,erfinder
?,schwester
?,zwillinge
?,trauma
?,kampf
?,großstadt
?,maschine
?,roboter
?,schmuggel
?,gang
?,bande
?,polizei
?,detektiv
?,maechte
?,koerper
?,gehirn
?,drohne
?,labor
?,forschung
?,bürger
?,arbeit
?,armut
?,reichtum
?,spionage
?,heilung
?,verlust
?,rache
?,traeume
?,wunsch
?,wachstum
?,kraft
?,licht
?,stahl
?,planung
?,gefecht
?,einheit
?,staerke
?,killer
?,haken
?,flucht
?,generator
?,reparatur
?,jaeger
?,terror
?,mord
?,gefahr
?,schrei
?,fluechten
?,rettung
?,fang
?,blut
?,spuren
?,kette
?,messer
?,geraeusch
?,spannung
?,adrenalin
?,stamina
?,medizin
?,heilkit
?,verband
?,schmerz
?,panik
?,fluchtweg
?,safehouse
?,aufstieg
?,stufe
?,match
?,zeitlimit
?,sprint
?,fall
?,sturz
?,schaden
?,hammer
?,blutspur
?,schrecken
?,tauchen
?,springer
?,treffer
?,schatten
?,zeitdruck
?,nerven
?,stress
?,geraet
?,alarm
?,gefängnis
?,fessel
?,trapper
?,wraith
?,nurse
?,huntress
?,doctor
?,hillbilly
?,shape
?,hag
?,clown
?,spirit
?,legion
?,plague
?,blight
?,twins
?,cenobite
?,artist
?,ratking
?,onryo
?,dredge
?,cannibal
?,nemesis
?,agitation
?,alert
?,assurance
?,diversion
?,dullahan
?,enduring
?,fireup
?,hexruin
?,hope
?,knockout
?,lithe
?,madgrit
?,memento
?,predator
?,puppeteer
?,saboteur
?,tenacity
?,tinkerer
?,vigil
?,visionary
?,folge
?,staffel
?,traumwelt
?,spass
?,lustig
?,lehrreich
„Still Alive“ aus Portal,lied
?,tanz
?,tanzen
?,fantasie
?,figur
?,spielen
?,spielzeug
?,neugierig
?,entdecken
?,feen
?,fee
?,drachen
?,monster
?,pirat
?,ritter
?,superheld
?,verstehen
?,respekt
?,tier
?,mama
?,papa
?,bruder
?,ball
?,rennen
?,malen
?,basteln
?,zeichnen
?,farben
Bruder von Mel,kino
?,fernsehen
?,serie
?,lachen
?,träumen
?,geduld
?,kreativ
?,mutig
?,ehrlich
?,nett
?,lol
?,eins
?,zwei
?,drei
?,vier
?,sechs
?,sieben
?,acht
?,neun
?,null
?,one
?,two
?,three
?,four
?,five
?,six
?,seven
?,eight
?,nine
?,ten
?,zehn
?,zero
?,Rokrund
?,nashor
?,soul
?,isaac
?,Alex
?,Elliott
?,Harvey
?,Sam
?,Sebastian
?,Shane
?,Abigail
?,Emily
?,Haley
?,Leah
?,Maru
?,Penny
?,Caroline
?,clint
?,Demetrius
?,Dwarf
?,Evelyn
?,George
?,Gus
?,Jas
?,Jodi
?,Kent
?,Krobus
?,Leo
?,Lewis
?,Linus
?,Marnie
?,Pam
?,Pierre
?,Robin
?,Sandy
?,Vincent
?,Willy
?,Wizard
?,perkz
?,Reignover
?,huni
?,Febiven
?,rekkles
?,caedrel
?,Origen
?,Fnactic
?,sOAZ
?,Expect
?,Bwipo
?,Adam
?,Nisqy
?,Wunder
?,Upset
?,Noah
?,Hylissang
?,Yike
?,Mikyx
?,Targamas
?,jankos
?,Flakked
?,Thebaus
?,promisq
?,Trick
?,Kikis
?,Razork
?,Gilius
?,Larssen
Iconic move (LoL),inSec
?,Alphari
?,splyce
?,Humanoid
?,Kobbe
?,Vetheo
?,Zeus
?,Crisp
Pro player (LoL; Jungle),Wei
?,Theshy
?,gala
?,rookie
?,oner
?,guma
?,Gumayusi
Pro player (LoL; Support),keria
?,peanut
Pro player (LoL),zeka
valorant character,viper
?,delight
?,kiin
?,canyon
?,chovy
?,ruler
?,duro
?,siwoo
?,lucid
?,showmaker
?,aiming
?,beryl
?,kingen
?,Oscarinin
?,poby
?,canna
?,vladi
?,caliste
?,skewmond
?,HansSama
?,labrov
?,Myrwn
?,Elyoya
?,Jojopyun
?,Supa
?,alvaro
?,uzi
?,deft
?,knight
?,tian
?,meiko
?,zoom
?,bin
?,lehends
?,karsa
?,smlz
?,mlxg
?,clearlove
?,hyllisang
?,yankos
?,nuguri
?,doinb
?,tarzan
?,scout
